Frequência (Hz)	Nível (dB)
15934.570312	-80.858757
15977.636719	-79.374657
16020.703125	-82.415359
16063.769531	-83.869156
16106.835938	-83.964302
16149.902344	-83.652687
16192.968750	-82.482124
16236.035156	-80.281082
16279.101562	-80.087700
16322.167969	-82.156334
16365.234375	-89.612297
16408.300781	-83.915573
16451.367188	-80.455559
16494.433594	-81.201576
16537.500000	-84.645271
16580.566406	-86.436935
16623.632812	-83.916222
16666.699219	-83.995918
16709.765625	-83.779640
16752.832031	-86.550415
16795.898438	-85.882896
16838.964844	-87.611603
16882.031250	-85.196968
16925.097656	-84.832619
16968.164062	-83.840157
17011.230469	-82.286652
17054.296875	-85.624077
17097.363281	-84.542496
17140.429688	-82.314850
17183.496094	-81.294601
17226.562500	-81.222237
17269.628906	-82.103912
17312.695312	-84.191628
17355.761719	-85.448288
17398.828125	-82.614922
17441.894531	-82.629768
17484.960938	-83.499161
17528.027344	-85.751602
17571.093750	-86.493095
17614.160156	-81.924126
17657.226562	-83.760582
17700.292969	-89.829575
17743.359375	-92.497635
17786.425781	-87.278374
17829.492188	-83.507332
17872.558594	-82.856346
17915.625000	-84.792603
17958.691406	-84.720222
18001.757812	-83.311424
18044.824219	-84.608475
18087.890625	-85.966919
18130.957031	-85.182266
18174.023438	-85.624069
18217.089844	-85.216782
18260.156250	-85.794571
18303.222656	-85.577271
18346.289062	-84.488777
18389.355469	-85.143890
18432.421875	-86.725006
18475.488281	-83.546562
18518.554688	-80.637444
18561.621094	-83.542221
18604.687500	-85.378410
18647.753906	-86.534103
18690.820312	-85.991089
18733.886719	-87.254280
18776.953125	-86.168739
18820.019531	-84.880653
18863.085938	-83.008820
18906.152344	-84.062408
18949.218750	-85.540451
18992.285156	-85.825310
19035.351562	-88.342766
19078.417969	-87.292656
19121.484375	-89.005821
19164.550781	-87.334732
19207.617188	-86.816711
19250.683594	-86.722176
19293.750000	-86.964432
19336.816406	-88.964523
19379.882812	-88.739243
19422.949219	-89.118622
19466.015625	-83.494873
19509.082031	-83.193642
19552.148438	-87.875763
19595.214844	-90.152206
19638.281250	-88.956810
19681.347656	-88.786865
19724.414062	-88.678085
19767.480469	-88.335106
19810.546875	-89.876778
19853.613281	-90.367805
19896.679688	-88.500511
19939.746094	-85.182106
19982.812500	-83.373680
20025.878906	-85.471252
20068.945312	-87.407402
20112.011719	-84.937881
20155.078125	-84.396820
20198.144531	-84.046890
20241.210938	-82.572433
20284.277344	-82.018379
20327.343750	-84.402710
20370.410156	-87.529922
20413.476562	-88.638855
20456.542969	-86.298973
20499.609375	-86.005417
20542.675781	-87.622940
20585.742188	-87.229599
20628.808594	-85.369507
20671.875000	-89.003838
20714.941406	-89.807243
20758.007812	-89.542061
20801.074219	-88.378876
20844.140625	-88.030220
20887.207031	-88.353111
20930.273438	-87.937317
20973.339844	-88.925163
21016.406250	-87.309235
21059.472656	-84.157593
21102.539062	-87.753113
21145.605469	-89.420547
21188.671875	-88.523537
21231.738281	-88.522980
21274.804688	-90.036880
21317.871094	-90.599594
21360.937500	-87.064598
21404.003906	-84.544785
21447.070312	-85.165497
21490.136719	-89.369690
21533.203125	-93.665833
21576.269531	-92.005928
21619.335938	-92.806122
21662.402344	-91.721878
21705.468750	-95.049744
21748.535156	-95.947655
21791.601562	-94.053322
21834.667969	-93.538422
21877.734375	-92.723251
21920.800781	-91.316788
21963.867188	-91.587036
22006.933594	-91.936577
